"opleidingsvarieteit_code","opleidingsvarieteit","studiegebied","opleiding","aard_opleiding","type_opleiding","onderwijstaal","is_lerarenopleiding","stem_opleiding","soort_contract"
1893,geneeskunde,Geneeskunde,"1893.geneeskunde.Geneeskunde",Initiële opleidingen,Academisch gerichte bachelor,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
3238,biomedische wetenschappen,Biomedische wetenschappen,"3238.biomedische wetenschappen.Biomedische wetenschappen",Initiële opleidingen,Master,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
2166,verpleegkunde en de vroedkunde,Geneeskunde,"2166.verpleegkunde en de vroedkunde.Geneeskunde",Initiële opleidingen,Master,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
1935,biomedische wetenschappen,Biomedische wetenschappen,"1935.biomedische wetenschappen.Biomedische wetenschappen",Initiële opleidingen,Academisch gerichte bachelor,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
2961,geneesmiddelenontwikkeling,Farmaceutische wetenschappen,"2961.geneesmiddelenontwikkeling.Farmaceutische wetenschappen",Initiële opleidingen,Master,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
3560,geneeskunde,Geneeskunde,"3560.geneeskunde.Geneeskunde",Initiële opleidingen,Master,Nederlands,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
1904,biologie,Wetenschappen,"1904.biologie.Wetenschappen",Initiële opleidingen,Academisch gerichte bachelor,Nederlands,Is geen lerarenopleiding,STEM,Diplomacontract
3093,geografie,Wetenschappen,"3093.geografie.Wetenschappen",Initiële opleidingen,Master,Nederlands,Is geen lerarenopleiding,STEM,Diplomacontract
3360,Biomedical Sciences,Biomedische wetenschappen,"3360.Biomedical Sciences.Biomedische wetenschappen",Initiële opleidingen,Master,Engels,Is geen lerarenopleiding,Niet-STEM,Diplomacontract
1929,informatica,Wetenschappen,"1929.informatica.Wetenschappen",Initiële opleidingen,Academisch gerichte bachelor,Nederlands,Is geen lerarenopleiding,STEM,Diplomacontract
