"academiejaar","instellingsnummer","geslacht","geboortejaar","belg_nietbelg","eu_nieteu","leeftijd","leeftijdscategorie","generatiestudent","opleiding","woonplaats_provincie_naam","woonplaats_huidige_fusiegemeente_naam","woonplaats_huidige_fusiegemeente_nis","aantal_inschrijvingen"
"2023-2024",110131,Man,2005,Belg,EU,18,"18",Inschrijving van een generatiestudent,"1894.geneeskunde.Geneeskunde",Vlaams-Brabant,Tielt-Winge,"24135",1
"2021-2022",110131,Man,1998,Belg,EU,23,"23",Inschrijving van een niet-generatiestudent,"3177.Biology.Wetenschappen",Vlaams-Brabant,Herent,"24038",1
"2022-2023",110131,Vrouw,2004,Belg,EU,18,"18",Inschrijving van een generatiestudent,"1932.biomedische wetenschappen.Biomedische wetenschappen",Namen,Assesse,"92006",1
"2015-2016",110131,Vrouw,1994,Belg,EU,21,"21",Inschrijving van een niet-generatiestudent,"2958.farmaceutische zorg.Farmaceutische wetenschappen",Vlaams-Brabant,Holsbeek,"24043",1
"2019-2020",110189,Man,2000,Belg,EU,19,"19",Inschrijving van een generatiestudent,"1905.biologie.Wetenschappen",Limburg,Houthalen-Helchteren,"72039",1
"2021-2022",110148,Man,2000,Belg,EU,21,"21",Inschrijving van een niet-generatiestudent,"1895.geneeskunde.Geneeskunde",Vlaams-Brabant,Affligem,"23105",1
"2023-2024",110131,Man,2001,Belg,EU,22,"22",Inschrijving van een niet-generatiestudent,"3161.biologie.Wetenschappen",Vlaams-Brabant,Boutersem,"24016",1
"2015-2016",110114,Man,1997,Belg,EU,18,"18",Inschrijving van een generatiestudent,"2095.biochemie en de biotechnologie.Wetenschappen",Oost-Vlaanderen,Aalst,"41002",1
"2015-2016",110114,Man,1991,Belg,EU,24,"24",Inschrijving van een niet-generatiestudent,"3176.Biology.Wetenschappen",West-Vlaanderen,Zedelgem,"31040",1
"2017-2018",110131,Vrouw,1999,Belg,EU,18,"18",Inschrijving van een generatiestudent,"2129.farmaceutische wetenschappen.Farmaceutische wetenschappen",Antwerpen,Oud-Turnhout,"13031",2
