"academiejaar","instellingsnummer","geslacht","geboortejaar","belg_nietbelg","eu_nieteu","leeftijd","leeftijdscategorie","opleiding","woonplaats_provincie_naam","aantal_studiebewijzen"
"2015-2016",110131,Vrouw,1992,niet-Belg,EU,23,"23","9045.Geography.Wetenschappen",Buitenland,1
"2023-2024",110114,Vrouw,1981,niet-Belg,niet-EU,42,"31-60","10148.Marine Biological Resources.Wetenschappen",Buitenland,1
"2022-2023",110114,Vrouw,1998,Belg,EU,24,"24","3176.Biology.Wetenschappen",West-Vlaanderen,1
"2021-2022",116772,Vrouw,1984,niet-Belg,EU,37,"31-60","1935.biomedische wetenschappen.Biomedische wetenschappen",Niet gekend,1
"2020-2021",110131,Vrouw,1996,Belg,EU,24,"24","2163.verpleegkunde en de vroedkunde.Geneeskunde",Vlaams-Brabant,4
"2021-2022",110131,Vrouw,2001,Belg,EU,20,"20","2105.geografie.Wetenschappen",Limburg,1
"2022-2023",110131,Man,2000,Belg,EU,22,"22","3168.Statistics and Data Science.Wetenschappen",Vlaams-Brabant,1
"2018-2019",115791,Vrouw,1993,niet-Belg,EU,25,"25","1934.biomedische wetenschappen.Biomedische wetenschappen",Antwerpen,1
"2016-2017",110114,Vrouw,1988,Belg,EU,28,"26-30","2161.verpleegkunde en de vroedkunde.Geneeskunde",Oost-Vlaanderen,2
"2022-2023",115791,Man,1999,Belg,EU,23,"23","3163.biologie.Wetenschappen",Antwerpen,4
